bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0.6863200562198042,0,WT,Veh,LDA,,,False,baseline,WT-Veh
0.7000301524941698,1,WT,Veh,LDA,,,False,baseline,WT-Veh
0.555937888363986,2,WT,Veh,LDA,,,False,baseline,WT-Veh
0.7450997074332937,3,WT,Veh,LDA,,,False,baseline,WT-Veh
0.7646005133742293,4,WT,Veh,LDA,,,False,baseline,WT-Veh
0.6827654438971795,5,WT,Veh,LDA,,,False,baseline,WT-Veh
0.7105378859301226,6,WT,Veh,LDA,,,False,baseline,WT-Veh
0.7268924805858956,7,WT,Veh,LDA,,,False,baseline,WT-Veh
0.6584370168602776,8,WT,Veh,LDA,,,False,baseline,WT-Veh
0.6714182770395656,9,WT,Veh,LDA,,,False,baseline,WT-Veh
0.6342776602557882,10,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.503792092239016,11,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.6503236967441266,12,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.6191495943463619,13,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.8132097311458079,14,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.6736194081346977,15,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.6929044596847873,16,WT,GluA2,LDA,,,False,baseline,WT-GluA2
0.5,17,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.7123459407507915,18,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.6169205167315369,19,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.5057225442097566,20,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.7199160402964226,21,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.5,22,Tg,Veh,LDA,,,False,baseline,Tg-Veh
0.4990677800973693,23,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.5545119616577542,24,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.584330863378705,25,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.6841289815811881,26,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.690726647816761,27,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.7329845201823402,28,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.6553471630197973,29,Tg,GluA2,LDA,,,False,baseline,Tg-GluA2
0.7853844915847716,0,WT,Veh,NB,,,False,baseline,WT-Veh
0.7601480221999999,1,WT,Veh,NB,,,False,baseline,WT-Veh
0.7916148366102651,2,WT,Veh,NB,,,False,baseline,WT-Veh
0.7697674529565763,3,WT,Veh,NB,,,False,baseline,WT-Veh
0.7716418680810166,4,WT,Veh,NB,,,False,baseline,WT-Veh
0.6586068024210345,5,WT,Veh,NB,,,False,baseline,WT-Veh
0.8616200283525066,6,WT,Veh,NB,,,False,baseline,WT-Veh
0.6996914583878016,7,WT,Veh,NB,,,False,baseline,WT-Veh
0.6510761308527142,8,WT,Veh,NB,,,False,baseline,WT-Veh
0.855997426334165,9,WT,Veh,NB,,,False,baseline,WT-Veh
