animal,condition,genotype,bacc,classifier,full_cond,sc_type
0,GluA2,WT,0.6359859879286588,LDA_sc,WT-GluA2,sc
1,Veh,WT,0.699235951859694,LDA_sc,WT-Veh,sc
2,Veh,WT,0.6807515953990091,LDA_sc,WT-Veh,sc
3,Veh,Tg,0.9841625836726244,LDA_sc,Tg-Veh,sc
4,Veh,WT,0.6874458495184793,LDA_sc,WT-Veh,sc
5,GluA2,WT,0.6599855345835659,LDA_sc,WT-GluA2,sc
6,GluA2,WT,0.6482669425933383,LDA_sc,WT-GluA2,sc
7,Veh,Tg,0.5221475065987546,LDA_sc,Tg-Veh,sc
8,Veh,Tg,0.6899366802351876,LDA_sc,Tg-Veh,sc
9,Veh,WT,0.6794199947109161,LDA_sc,WT-Veh,sc
10,Veh,WT,0.7323142182512845,LDA_sc,WT-Veh,sc
11,Veh,WT,0.6589033669043594,LDA_sc,WT-Veh,sc
12,Veh,Tg,0.7562605409915046,LDA_sc,Tg-Veh,sc
13,Veh,Tg,0.6208253248360562,LDA_sc,Tg-Veh,sc
14,GluA2,Tg,0.607131874492633,LDA_sc,Tg-GluA2,sc
15,GluA2,Tg,0.7224578789517248,LDA_sc,Tg-GluA2,sc
16,Veh,Tg,0.7001295469034661,LDA_sc,Tg-Veh,sc
17,Veh,WT,0.6501526373285136,LDA_sc,WT-Veh,sc
18,GluA2,WT,0.6112616246121509,LDA_sc,WT-GluA2,sc
19,GluA2,WT,0.8010136934121589,LDA_sc,WT-GluA2,sc
20,Veh,WT,0.738741663353218,LDA_sc,WT-Veh,sc
21,GluA2,WT,0.6887957556792951,LDA_sc,WT-GluA2,sc
22,Veh,WT,0.6713792434100991,LDA_sc,WT-Veh,sc
23,GluA2,Tg,0.5823401105075345,LDA_sc,Tg-GluA2,sc
24,GluA2,Tg,0.6887756471855095,LDA_sc,Tg-GluA2,sc
25,GluA2,Tg,0.6913381515697922,LDA_sc,Tg-GluA2,sc
26,GluA2,Tg,0.6510944001475867,LDA_sc,Tg-GluA2,sc
27,Veh,WT,0.7134768571881909,LDA_sc,WT-Veh,sc
28,GluA2,WT,0.7091877641191574,LDA_sc,WT-GluA2,sc
29,GluA2,Tg,0.6353770010419627,LDA_sc,Tg-GluA2,sc
30,Veh,Tg,0.6072306304650714,LDA_sc,Tg-Veh,sc
0,GluA2,WT,0.6341903274011683,LR_sc,WT-GluA2,sc
1,Veh,WT,0.6986560267833125,LR_sc,WT-Veh,sc
2,Veh,WT,0.6795638877973266,LR_sc,WT-Veh,sc
3,Veh,Tg,0.968946242495342,LR_sc,Tg-Veh,sc
4,Veh,WT,0.6999526373041085,LR_sc,WT-Veh,sc
5,GluA2,WT,0.6589526371333608,LR_sc,WT-GluA2,sc
6,GluA2,WT,0.6508014797765336,LR_sc,WT-GluA2,sc
7,Veh,Tg,0.5234033367990141,LR_sc,Tg-Veh,sc
8,Veh,Tg,0.6994478365747023,LR_sc,Tg-Veh,sc
9,Veh,WT,0.6780814456456374,LR_sc,WT-Veh,sc
10,Veh,WT,0.7339683471960196,LR_sc,WT-Veh,sc
11,Veh,WT,0.6577013036340023,LR_sc,WT-Veh,sc
12,Veh,Tg,0.7614834197269832,LR_sc,Tg-Veh,sc
13,Veh,Tg,0.6261701531433803,LR_sc,Tg-Veh,sc
14,GluA2,Tg,0.607585476774293,LR_sc,Tg-GluA2,sc
15,GluA2,Tg,0.7207346353423003,LR_sc,Tg-GluA2,sc
16,Veh,Tg,0.7029230863472085,LR_sc,Tg-Veh,sc
17,Veh,WT,0.6520946469157048,LR_sc,WT-Veh,sc
18,GluA2,WT,0.6132669244907751,LR_sc,WT-GluA2,sc
19,GluA2,WT,0.802924707610863,LR_sc,WT-GluA2,sc
20,Veh,WT,0.7364004290033668,LR_sc,WT-Veh,sc
21,GluA2,WT,0.692994448622295,LR_sc,WT-GluA2,sc
22,Veh,WT,0.6651161481701251,LR_sc,WT-Veh,sc
23,GluA2,Tg,0.5828509876202964,LR_sc,Tg-GluA2,sc
24,GluA2,Tg,0.6873379400483206,LR_sc,Tg-GluA2,sc
25,GluA2,Tg,0.6967117329448891,LR_sc,Tg-GluA2,sc
26,GluA2,Tg,0.6549382795089114,LR_sc,Tg-GluA2,sc
27,Veh,WT,0.7175383914355347,LR_sc,WT-Veh,sc
28,GluA2,WT,0.7088967589827806,LR_sc,WT-GluA2,sc
29,GluA2,Tg,0.6300464147011462,LR_sc,Tg-GluA2,sc
30,Veh,Tg,0.6047250345195301,LR_sc,Tg-Veh,sc
0,GluA2,WT,0.7295102567585925,NN_sc,WT-GluA2,sc
1,Veh,WT,0.7845859737876459,NN_sc,WT-Veh,sc
2,Veh,WT,0.7997842131854602,NN_sc,WT-Veh,sc
3,Veh,Tg,0.5041059968256159,NN_sc,Tg-Veh,sc
4,Veh,WT,0.6368882246159949,NN_sc,WT-Veh,sc
