animal,name,cond,condition,genotype,should_include,bacc,classifier,model
0,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6318409765753876,LDA,full
0,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.6920147689560813,NB,full
0,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.738990755655611,NN,full
0,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.7084892386515806,QDA,full
0,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.7466684780147625,gSVM,full
1,LDA_c25_t500,WT-Veh,Veh,WT,True,0.605842129887497,LDA,full
1,NB_c25_t500,WT-Veh,Veh,WT,True,0.6733341681751435,NB,full
1,NN_c25_t500,WT-Veh,Veh,WT,True,0.8227374356116807,NN,full
1,QDA_c25_t500,WT-Veh,Veh,WT,True,0.7495203589606112,QDA,full
1,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.8282160582814209,gSVM,full
2,LDA_c25_t500,WT-Veh,Veh,WT,True,0.5913568641406063,LDA,full
2,NB_c25_t500,WT-Veh,Veh,WT,True,0.6640836848269871,NB,full
2,NN_c25_t500,WT-Veh,Veh,WT,True,0.7484247933616939,NN,full
2,QDA_c25_t500,WT-Veh,Veh,WT,True,0.7084094135915531,QDA,full
2,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.7606780819245835,gSVM,full
4,LDA_c25_t500,WT-Veh,Veh,WT,True,0.5913569846097262,LDA,full
4,NB_c25_t500,WT-Veh,Veh,WT,True,0.6712022028569132,NB,full
4,NN_c25_t500,WT-Veh,Veh,WT,True,0.6937839960351815,NN,full
4,QDA_c25_t500,WT-Veh,Veh,WT,True,0.6812309038410047,QDA,full
4,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.7028738573532755,gSVM,full
6,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6052478991137551,LDA,full
6,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.6978071056179831,NB,full
6,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.7937032684129087,NN,full
6,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.7339480549768502,QDA,full
6,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.8009555989876954,gSVM,full
7,LDA_c25_t500,Tg-Veh,Veh,Tg,True,0.54052105296104,LDA,full
7,NB_c25_t500,Tg-Veh,Veh,Tg,True,0.6323396830663263,NB,full
7,NN_c25_t500,Tg-Veh,Veh,Tg,True,0.671889797922891,NN,full
7,QDA_c25_t500,Tg-Veh,Veh,Tg,True,0.6341737380971022,QDA,full
7,gSVM_c25_t500,Tg-Veh,Veh,Tg,True,0.6764873272703082,gSVM,full
8,LDA_c25_t500,Tg-Veh,Veh,Tg,True,0.5790381426202321,LDA,full
8,NB_c25_t500,Tg-Veh,Veh,Tg,True,0.6967067126488768,NB,full
8,NN_c25_t500,Tg-Veh,Veh,Tg,True,0.898279530378411,NN,full
8,QDA_c25_t500,Tg-Veh,Veh,Tg,True,0.767724634403739,QDA,full
