,bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0,0.6913272374619008,0,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.7000975745748537,1,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.5556826849733029,2,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.7456682235949978,3,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.765897435897436,4,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.680026158445441,5,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.708546671918078,6,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.7256052824651504,7,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.6582278481012658,8,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.6702888947786907,9,WT,Veh,LDA,,,True,baseline,WT-Veh
0,0.6342436974789916,10,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.5042553191489362,11,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.6516447993915193,12,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.6190970420342501,13,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.8134031413612566,14,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.6746081504702195,15,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.6930045294413689,16,WT,GluA2,LDA,,,True,baseline,WT-GluA2
0,0.65,17,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.5,18,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.7095959595959596,19,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.6183539694100509,20,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.5061664953751285,21,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.7194368755676657,22,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.5,23,Tg,Veh,LDA,,,True,baseline,Tg-Veh
0,0.4989136338946225,24,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.5551558752997602,25,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.5844349283187489,26,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.6846632124352332,27,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.6912811387900355,28,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.7306075257515241,29,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.6538789428815004,30,Tg,GluA2,LDA,,,True,baseline,Tg-GluA2
0,0.7844278193405375,0,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.7603847226094229,1,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.7909992372234935,2,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.7690221485610969,3,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.7738461538461539,4,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.6595665171898355,5,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.8591965340685309,6,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.6968696502812424,7,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.6489776046738072,8,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.8576729393055924,9,WT,Veh,NB,,,True,baseline,WT-Veh
0,0.6903361344537815,10,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.7031914893617022,11,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.7768587183875262,12,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.8321224701608718,13,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.7736125654450261,14,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.6900731452455591,15,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.7232008052340211,16,WT,GluA2,NB,,,True,baseline,WT-GluA2
0,0.85,17,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.651080410910379,18,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.9090909090909092,19,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.7774945375091041,20,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.7096608427543679,21,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.689464123524069,22,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.6847769028871391,23,Tg,Veh,NB,,,True,baseline,Tg-Veh
0,0.7103476371537207,24,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.6915039397053786,25,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.7609383727425061,26,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.6898445595854923,27,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.7709074733096086,28,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.7150515030481396,29,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.7416879795396419,30,Tg,GluA2,NB,,,True,baseline,Tg-GluA2
0,0.8952618453865336,0,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.8493169779760246,1,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.8790999237223494,2,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.8176133795389483,3,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.787094017094017,4,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.679559043348281,5,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.932256794013391,6,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.7394228417706041,7,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.7015579357351509,8,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.8931884442088524,9,WT,Veh,QDA,,,True,baseline,WT-Veh
0,0.707282913165266,10,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.7468085106382978,11,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.8725042783799202,12,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.910352880124546,13,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.7936125654450261,14,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.7165099268547545,15,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.7649723200805234,16,WT,GluA2,QDA,,,True,baseline,WT-GluA2
0,0.8,17,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.6257527453064117,18,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.9804292929292929,19,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.90203932993445,20,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.7718396711202467,21,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.7146230699364214,22,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.6538057742782153,23,Tg,Veh,QDA,,,True,baseline,Tg-Veh
0,0.728408473655622,24,Tg,GluA2,QDA,,,True,baseline,Tg-GluA2
0,0.7086330935251799,25,Tg,GluA2,QDA,,,True,baseline,Tg-GluA2
0,0.7965928132563769,26,Tg,GluA2,QDA,,,True,baseline,Tg-GluA2
0,0.7002072538860104,27,Tg,GluA2,QDA,,,True,baseline,Tg-GluA2
0,0.8547597864768683,28,Tg,GluA2,QDA,,,True,baseline,Tg-GluA2
